"","diff.fit","low","high","study","treat","bilat_0","age","se"
"6248",-0.0169358263808381,-0.141197813413526,0.151390333937659,"Appelman","Antibiotics","Unilateral",8.37,-0.141197813413526
"6250",-0.0142773593293723,-0.171782387148647,0.195592589670347,"Appelman","Antibiotics","Bilateral",8.39,-0.171782387148647
"6252",-0.0168137844078948,-0.141371192367693,0.152209660023666,"Appelman","Antibiotics","Unilateral",8.41,-0.141371192367693
"6254",-0.014016495430989,-0.172135620242727,0.196391000627298,"Appelman","Antibiotics","Bilateral",8.43,-0.172135620242727
"6256",-0.0166923648076733,-0.141544199297237,0.153026891606128,"Appelman","Antibiotics","Unilateral",8.45,-0.141544199297237
"6258",-0.0137594535599845,-0.172494731033123,0.197181302405224,"Appelman","Antibiotics","Bilateral",8.47,-0.172494731033123
"6260",-0.0165715688100663,-0.141716844354794,0.153842022765107,"Appelman","Antibiotics","Unilateral",8.49,-0.141716844354794
"6262",-0.0135061876819181,-0.17285963626401,0.197963570536803,"Appelman","Antibiotics","Bilateral",8.51,-0.17285963626401
"6264",-0.0164513975465605,-0.141889137382786,0.154655048241682,"Appelman","Antibiotics","Unilateral",8.53,-0.141889137382786
"6266",-0.0132566521381215,-0.173230253404812,0.198737880523654,"Appelman","Antibiotics","Bilateral",8.55,-0.173230253404812
"6268",-0.0163318520520012,-0.14206108791808,0.155465963417114,"Appelman","Antibiotics","Unilateral",8.57,-0.14206108791808
"6270",-0.0130108016470413,-0.173606500675258,0.199504307808874,"Appelman","Antibiotics","Bilateral",8.59,-0.173606500675258
"6272",-0.0162129332663179,-0.142232705197573,0.156274764293841,"Appelman","Antibiotics","Unilateral",8.61,-0.142232705197573
"6274",-0.0127685913054186,-0.173988297068882,0.200262927751233,"Appelman","Antibiotics","Bilateral",8.63,-0.173988297068882
"6276",-0.016094642036232,-0.14240399816408,0.157081447477142,"Appelman","Antibiotics","Unilateral",8.65,-0.14240399816408
"6278",-0.012529976589321,-0.174375562374894,0.201013815600552,"Appelman","Antibiotics","Bilateral",8.67,-0.174375562374894
"6280",-0.0159769791169473,-0.142574975472484,0.157886010157398,"Appelman","Antibiotics","Unilateral",8.69,-0.142574975472484
"6282",-0.0122949133550313,-0.174768217198447,0.20175704647421,"Appelman","Antibiotics","Bilateral",8.71,-0.174768217198447
"6284",-0.015859945173826,-0.14274564549621,0.158688450092936,"Appelman","Antibiotics","Unilateral",8.73,-0.14274564549621
"6286",-0.0120633578397997,-0.175166182979858,0.202492695335052,"Appelman","Antibiotics","Bilateral",8.75,-0.175166182979858
"6288",-0.0157435407840365,-0.142916016334706,0.159488765594422,"Appelman","Antibiotics","Unilateral",8.77,-0.142916016334706
"6290",-0.0118352666624343,-0.175569382012439,0.203220836971272,"Appelman","Antibiotics","Bilateral",8.79,-0.175569382012439
"6292",-0.0156277664381744,-0.143086095819739,0.160286955508888,"Appelman","Antibiotics","Unilateral",8.81,-0.143086095819739
"6294",-0.0116105968237928,-0.175977737457478,0.203941545975025,"Appelman","Antibiotics","Bilateral",8.83,-0.175977737457478
"6296",-0.0155126225419059,-0.143255891522375,0.16108301920354,"Appelman","Antibiotics","Unilateral",8.85,-0.143255891522375
"6298",-0.0113893057071307,-0.176391173359198,0.204654896723727,"Appelman","Antibiotics","Bilateral",8.87,-0.176391173359198
"6300",-0.0153981094175497,-0.143425410759752,0.161876956551045,"Appelman","Antibiotics","Unilateral",8.89,-0.143425410759752
"6302",-0.0111713510783263,-0.176809614656654,0.205360963360689,"Appelman","Antibiotics","Bilateral",8.91,-0.176809614656654
"6304",-0.0152842273056896,-0.143594660601376,0.162668767913372,"Appelman","Antibiotics","Unilateral",8.93,-0.143594660601376
"6306",-0.0109566910860096,-0.177232987195561,0.206059819777094,"Appelman","Antibiotics","Bilateral",8.95,-0.177232987195561
"6308",-0.0151709763667395,-0.14376364787699,0.163458454128296,"Appelman","Antibiotics","Unilateral",8.97,-0.14376364787699
"6310",-0.0107452842615291,-0.177661217739026,0.206751539596279,"Appelman","Antibiotics","Bilateral",8.99,-0.177661217739026
"6312",-0.0150583566824821,-0.14393237918315,0.164246016495374,"Appelman","Antibiotics","Unilateral",9.01,-0.14393237918315
"6314",-0.0105370895188459,-0.178094233976234,0.207436196156927,"Appelman","Antibiotics","Bilateral",9.03,-0.178094233976234
"6316",-0.0149463682576203,-0.144100860891099,0.165031456762591,"Appelman","Antibiotics","Unilateral",9.05,-0.144100860891099
"6318",-0.0103320661542822,-0.178531964531503,0.208113862499486,"Appelman","Antibiotics","Bilateral",9.07,-0.178531964531503
"6320",-0.0148350110212545,-0.144269099153619,0.16581477711409,"Appelman","Antibiotics","Unilateral",9.09,-0.144269099153619
"6322",-0.0101301738461755,-0.178974338969396,0.208784611350456,"Appelman","Antibiotics","Bilateral",9.11,-0.178974338969396
"6324",-0.0147242848284207,-0.144437099910601,0.16659598015492,"Appelman","Antibiotics","Unilateral",9.13,-0.144437099910601
"6326",-0.00993137265446428,-0.179421287799628,0.209448515107209,"Appelman","Antibiotics","Bilateral",9.15,-0.179421287799628
"6328",-0.014614189461585,-0.144604868895863,0.167375068897994,"Appelman","Antibiotics","Unilateral",9.17,-0.144604868895863
"6330",-0.00973562302014637,-0.179872742481571,0.210105645824871,"Appelman","Antibiotics","Bilateral",9.19,-0.179872742481571
"6332",-0.0145047246321103,-0.144772411644016,0.16815204675183,"Appelman","Antibiotics","Unilateral",9.21,-0.144772411644016
"6334",-0.00954288576463967,-0.180328635427762,0.210756075203934,"Appelman","Antibiotics","Bilateral",9.23,-0.180328635427762
"6336",-0.0143958899817042,-0.144939733497282,0.168926917508613,"Appelman","Antibiotics","Unilateral",9.25,-0.144939733497282
"6338",-0.00935312208904946,-0.180788900006462,0.211399874578532,"Appelman","Antibiotics","Bilateral",9.27,-0.180788900006462
"6340",-0.0142876850838505,-0.145106839612232,0.169699685332584,"Appelman","Antibiotics","Unilateral",9.29,-0.145106839612232
"6342",-0.00916629357334542,-0.181253470543298,0.212037114905344,"Appelman","Antibiotics","Bilateral",9.31,-0.181253470543298
"6344",-0.0141801094452229,-0.145273734966442,0.170470354748724,"Appelman","Antibiotics","Unilateral",9.33,-0.145273734966442
"6346",-0.00898236217545158,-0.181722282322049,0.212667866753107,"Appelman","Antibiotics","Bilateral",9.35,-0.181722282322049
"6348",-0.0140731625070813,-0.145440424365054,0.171238930631739,"Appelman","Antibiotics","Unilateral",9.37,-0.145440424365054
"6350",-0.00880129023025187,-0.182195271584598,0.213292200292716,"Appelman","Antibiotics","Bilateral",9.39,-0.182195271584598
"6352",-0.0139668436466517,-0.145606912447247,0.172005418195322,"Appelman","Antibiotics","Unilateral",9.41,-0.145606912447247
"6354",-0.00862304044851472,-0.182672375530103,0.213910185287885,"Appelman","Antibiotics","Bilateral",9.43,-0.182672375530103
"6356",-0.0138611521784878,-0.145773203692585,0.172769822981696,"Appelman","Antibiotics","Unilateral",9.45,-0.145773203692585
"6358",-0.00844757591574004,-0.183153532313478,0.21452189108636,"Appelman","Antibiotics","Bilateral",9.47,-0.183153532313478
"6360",-0.0137560873558187,-0.145939302427579,0.173532150851611,"Appelman","Antibiotics","Unilateral",9.49,-0.145939302427579
"6362",-0.00827486009093053,-0.18363868104393,0.215127386612359,"Appelman","Antibiotics","Bilateral",9.51,-0.18363868104393
"6364",-0.0136516483718597,-0.146105212832481,0.174292407975587,"Appelman","Antibiotics","Unilateral",9.53,-0.146105212832481
"6366",-0.00810485680527349,-0.184127761781845,0.215726740359247,"Appelman","Antibiotics","Bilateral",9.55,-0.184127761781845
"6368",-0.0135478343611266,-0.146270938946464,0.175050600823416,"Appelman","Antibiotics","Unilateral",9.57,-0.146270938946464
"6370",-0.00793753026078139,-0.184620715534511,0.216320020381135,"Appelman","Antibiotics","Bilateral",9.59,-0.184620715534511
"6372",-0.0134446444007415,-0.146436484673292,0.175806736154099,"Appelman","Antibiotics","Unilateral",9.61,-0.146436484673292
"6374",-0.00777284502885502,-0.185117484251906,0.216907294285935,"Appelman","Antibiotics","Bilateral",9.63,-0.185117484251906
"6376",-0.0133420775117103,-0.146601853787036,0.176560821006613,"Appelman","Antibiotics","Unilateral",9.65,-0.146601853787036
"6378",-0.00761076604877862,-0.18561801082196,0.217488629228955,"Appelman","Antibiotics","Bilateral",9.67,-0.18561801082196
"6380",-0.0132401326601827,-0.14676704993767,0.177312862690895,"Appelman","Antibiotics","Unilateral",9.69,-0.14676704993767
"6382",-0.00745125862615306,-0.186122239065275,0.218064091906937,"Appelman","Antibiotics","Bilateral",9.71,-0.186122239065275
"6384",-0.013138808758696,-0.146932076656524,0.178062868779063,"Appelman","Antibiotics","Unilateral",9.73,-0.146932076656524
"6386",-0.007294288431269,-0.186630113729364,0.218633748552505,"Appelman","Antibiotics","Bilateral",9.75,-0.186630113729364
"6388",-0.0130381046674019,-0.147096937361598,0.178810847096833,"Appelman","Antibiotics","Unilateral",9.77,-0.147096937361598
